,city,lat,lon,country,date,maxtemp,humidity,clouds,wind
0,Awjilah,29.14,21.3,LY,1556913411,79.79,17,38,9.62
1,Ilulissat,69.22,-51.1,GL,1556909400,51.8,37,75,11.41
2,Nanortalik,60.14,-45.24,GL,1556912968,39.83,70,100,6.29
3,Bredasdorp,-34.53,20.04,ZA,1556912739,62.6,59,61,6.93
4,Cape Town,-33.93,18.42,ZA,1556913195,61.0,77,75,4.7
5,Saskylakh,71.97,114.09,RU,1556913413,3.11,91,4,4.56
6,Busselton,-33.64,115.35,AU,1556913277,64.99,32,94,32.03
7,Longyearbyen,78.22,15.63,NO,1556913000,19.4,62,20,18.34
8,Islamkot,24.7,70.18,PK,1556913413,86.09,36,0,8.61
9,Bathsheba,13.22,-59.52,BB,1556910000,86.0,66,40,21.92
10,Broken Hill,-31.97,141.45,AU,1556910000,50.0,87,40,10.29
11,Dunmore Town,25.5,-76.65,BS,1556913414,79.25,79,40,13.67
12,Butaritari,3.07,172.79,KI,1556912950,83.21,78,100,13.82
13,Qurbus,36.82,10.57,TN,1556911800,62.6,82,40,4.7
14,Kapaa,22.08,-159.32,US,1556912802,78.8,78,75,9.17
15,Tecolutla,17.31,-98.74,MX,1556913415,84.29,25,0,7.4
16,Barrow,-38.31,-60.23,AR,1556912960,58.55,53,3,7.25
17,Punta Arenas,-53.16,-70.91,CL,1556912587,44.6,68,0,12.75
18,Atuona,-9.8,-139.03,PF,1556912963,84.11,76,1,15.57
19,Bethel,60.79,-161.76,US,1556909760,41.0,80,90,13.87
20,Sao Filipe,14.9,-24.5,CV,1556912979,72.23,78,0,15.97
21,Iqaluit,63.75,-68.52,CA,1556912562,26.6,73,40,14.99
22,Sitka,37.17,-99.65,US,1556912810,64.0,77,100,1.99
23,Dikson,73.51,80.55,RU,1556912981,6.53,95,18,3.38
24,Gao,16.28,-0.04,ML,1556913418,99.95,22,34,12.19
25,Vardo,39.62,-77.74,US,1556912951,81.0,69,75,5.82
26,Rikitea,-23.12,-134.97,PF,1556912955,77.27,73,100,17.67
27,Mataura,-46.19,168.86,NZ,1556911808,55.0,77,100,3.0
28,Ushuaia,-54.81,-68.31,AR,1556910000,41.0,56,75,5.82
29,Sungairaya,0.7,108.9,ID,1556913419,86.09,74,0,10.29
30,Lompoc,34.64,-120.46,US,1556912784,73.4,46,1,8.05
31,Kinkala,-4.35,14.75,CG,1556913419,74.93,86,100,5.06
32,Faanui,-16.48,-151.75,PF,1556913010,81.59,73,73,17.38
33,Okha,53.59,142.95,RU,1556913420,31.37,95,6,0.49
34,Puerto Ayora,-0.74,-90.35,EC,1556912836,87.8,66,20,13.87
35,Hilo,19.71,-155.08,US,1556912916,78.01,78,90,4.68
36,Kaitangata,-46.28,169.85,NZ,1556912953,52.79,67,100,5.93
37,Turukhansk,65.8,87.96,RU,1556912997,35.15,99,100,10.87
38,Albany,42.65,-73.75,US,1556912925,66.99,72,75,14.99
39,Winkler,49.19,-97.94,CA,1556912100,57.2,47,75,10.29
40,Asekeyevo,53.57,52.8,RU,1556913421,53.69,81,100,20.42
41,Yellowknife,62.45,-114.38,CA,1556912885,28.99,42,20,11.41
42,Manokwari,-0.87,134.08,ID,1556913004,74.57,80,100,3.18
43,Avarua,-21.21,-159.78,CK,1556910000,80.6,78,100,18.34
44,Te Anau,-45.41,167.72,NZ,1556912968,50.99,92,100,4.92
45,San Patricio,-26.98,-56.83,PY,1556912978,78.17,89,53,2.51
46,Honningsvag,70.98,25.97,NO,1556909400,30.2,74,75,12.75
47,Hithadhoo,-0.6,73.08,MV,1556912905,83.75,76,99,7.43
48,Mar del Plata,-46.43,-67.52,AR,1556912942,45.41,44,100,10.2
49,Saint George,39.45,22.34,GR,1556909400,59.0,51,75,3.36
50,Jamestown,-33.21,138.6,AU,1556912944,49.91,95,0,1.05
51,Airai,-8.93,125.41,TL,1556912962,74.57,78,19,4.74
